,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC,LINK INFOGRÁFICO
1405,TAROS,Conference Towards Autonomous Robotics Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=3_Q6Rsb1TloJ.2018,Relevante,11,B2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,11.0,,B2,B2,,
1406,TASE,Theoretical Aspects of Software Engineering,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=WZLpmXhRGDcJ.2019,Top20,9,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,9.0,,,B2,,
1407,TCC,Theory of Cryptography,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JP81m6yJpiEJ.2018,Top20,34,A2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,34.0,,,A2,,
1408,TechDebt,International Conference on Technical Debt,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:50:32,categorias 3 e 4 não são atualizadas,,,,,,
1409,TEEM,Technological Ecosystems for Enhancing Multiculturality,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=hJ9cG7FOMuQJ.2019,nulo,28,A2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,28.0,,,A2,,
1410,TEI,"International Conference on Tangible, Embedded and Embodied Interaction",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=KRPnqF5qBUgJ.2018,Top10,26,A2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,26.0,,A2,A2,,
1411,TextGraphs,Workshop on Graph-based Methods for Natural Language Processing,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Graph-based+Methods+for+Natural+Language+Processing&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,5,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,5.0,1.0,,B4,,
1412,TIMBRE,Interdisciplinary Workshop on Timbre,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:50:32,categorias 3 e 4 não são atualizadas,,,,,,
1413,TIME,International Symposium on Temporal Representation and Reasoning,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=B-V0KIZXwvEJ.2018,Top20,10,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,10.0,,,B2,,
1414,TISE,Congreso Internacional de Informática Educativa,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Congreso+Internacional+de+Inform%C3%A1tica+Educativa&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,5,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,5.0,1.0,B5,B4,,
1415,TLCA,International Conference on Typed Lambda Calculi and Applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Typed+Lambda+Calculi+and+Applications&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,10.0,1.0,B3,B2,,
1416,ToRPorEsp,Workshop on Tools and Resources for Automatically Processing Portuguese and Spanish,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Tools+and+Resources+for+Automatically+Processing+Portuguese+and+Spanish&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,3.0,1.0,B5,B4,,
1417,TPDL,International Conference on Theory and Practice of Digital Libraries,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=hjuhM_ewzmAJ.2018,nulo,12,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,12.0,,B1,B1,,
1418,TREC,Text Retrieval Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=NVceRfB9aaoJ.2018,Top20,16,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,16.0,,A2,A4,,
1419,TRUST,International Workshop on Trust in Agent societies,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Trust+in+Agent+societies&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,2.0,1.0,,B4,,
1420,TRUSTCOM,"International Conference on Trust, Security and Privacy in Computing and Communications",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=eMr22KXtlXcJ.2018,Top20,24,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,24.0,,A2,A3,,
1421,TSD,"International Conference on Text, Speech and Dialogue",1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=wfD8vcltKiQJ.2018,nulo,13,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,13.0,,B1,B1,,
1422,TVX,International Conference on Interactive Experiences for Television and Online Video,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=TXuTxsDBjjgJ.2018,Relevante,14,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,14.0,,B3,B1,,
1423,UAHCI,International Conference Universal Access in Human-Computer Interaction,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+Universal+Access+in+Human-Computer+Interaction&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,16,A4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,16.0,1.0,B2,A4,,
1424,UAI,Conference on Uncertainty in Artificial Intelligence,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=xLfkTVI4LkMJ.2018,Top10,30,A2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,30.0,,A1,A2,,
1425,UBICOMM-IARIA,"IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Mobile+Ubiquitous+Computing%2C+Systems%2C+Services+and+Technologies&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,4.0,1.0,B5,B4,,
1426,UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=K6EHRjh8bWIJ.2018,Top10,52,A1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,52.0,,A1,A1,,
1427,UBIMUS,Workshop de Música Ubíqua,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:50:32,categorias 3 e 4 não são atualizadas,,,,,,
1428,UCAMI,International Conference on Ubiquitous Computing and Ambient Intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=3kVU9X0sj_gJ.2018,nulo,10,B2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,10.0,,B2,B2,,
1429,UCC,IEEE/ACM International Conference on Utility and Cloud Computing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=gCzn4TRHFGQJ.2018,Relevante,20,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,20.0,,A2,A3,,
1430,UCHPC,Workshop on UnConventional High Performance Computing,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+UnConventional+High+Performance+Computing&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,2.0,1.0,B4,B4,,
1431,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=3kVU9X0sj_gJ.2018,nulo,10,B2,14/05/2020,15/08/2021 03:50:32,link é o mesmo utilizado para outro evento: http-collector-https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=3kVU9X0sj_gJ.2018 is already defined as a collector,10.0,,B2,B2,,
1432,UIST,ACM User Interface Software Technology Symposium,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=vl9z3BzoXrgJ.2018,Top10,45,A1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,45.0,,A1,A1,,
1433,UKSIM,International Conference on Computer Modelling and Simulation,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=VTPmGQsRYzIJ.2018,nulo,13,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,13.0,,B1,B1,,
1434,UMAP,"International Conference on User Modeling, Adaptation and Personalization",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=jtXTIwcBWV8J.2018,Top20,22,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,22.0,,A2,A3,,
1435,UNET,International Symposium on Ubiquitous Networking,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Symposium+on+Ubiquitous+Networking&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,6.0,1.0,B5,B3,,
1436,UNIF,International Workshop on Unification,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Unification&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,2.0,1.0,B4,B4,,
1437,URSW,International Workshop on Uncertainty Reasoning for the Semantic Web,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Uncertainty+Reasoning+for+the+Semantic+Web&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,2.0,1.0,B4,B4,,
1438,USENIX Security,USENIX Security Symposium,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=HSHJIaLyN9IJ.2018,Top10,70,A1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,70.0,,,A1,,
1439,USENIXATC,USENIX Annual Technical Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=UoM6MOnWKE8J.2018,Top20,44,A1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,44.0,,,A1,,
1440,USIHC,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:50:32,categorias 3 e 4 não são atualizadas,,,,,,
1441,VALUETOOLS,EAI International Conference on Performance Evaluation Methodologies and Tools,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=N7k0XNGuJiwJ.2019,nulo,12,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,12.0,,,B1,,
1442,VAMOS,International Workshop on Variability Modelling of Software-intensive Systems,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Variability+Modelling+of+Software-intensive+Systems&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,14,B1,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,14.0,1.0,A2,B1,,
1443,VAMR,"International Conference on Virtual, Augmented and Mixed Reality",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Virtual%2C+Augmented+and+Mixed+Reality&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,16,A4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,16.0,1.0,B2,A4,,
1444,VarDial,"Workshop on NLP for Similar Languages, Varieties and Dialects",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+NLP+for+Similar+Languages%2C+Varieties+and+Dialects&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,12,B1,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,12.0,1.0,,B1,,
1445,VAST,IEEE Conference on Visual Analytics Science and Technology,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IEEE+Conference+on+Visual+Analytics+Science+and+Technology&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Top20,19,A3,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,19.0,1.0,A2,A4,,
1446,VCIP,IEEE International Conference on Visual Communications and Image Processing,1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=w7hnA89zuXcJ.2018,nulo,14,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,14.0,,B1,B1,,
1447,VECIMS/CIVEMSA,IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=SE0J8GWI_bcJ.2019,Relevante,11,B2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,11.0,,,B2,,
1448,VECPAR,International Meeting on High Performance Computing for Computational Science,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Meeting+on+High+Performance+Computing+for+Computational+Science&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,1.0,1.0,B2,B4,,
1449,VEM,"Workshop on Software Visualization, Evolution and Maintenance",2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Software+Visualization%2C+Evolution+and+Maintenance&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,13,B1,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,13.0,1.0,B5,B1,,
1450,Videojogos,Conference on Videogame Sciences and Arts,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:50:32,categorias 3 e 4 não são atualizadas,,,,,,
1451,VISAPP,International Conference on Computer Vision Theory and Applications,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ljGmmUmHfUwJ.2018,Top20,21,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,21.0,,B1,A3,,
1452,VISSOFT,IEEE Working Conference on Software Visualization,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=RLYEWrcGzrsJ.2018,Relevante,17,A4,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,17.0,,B1,A4,,
1453,VLDB,International Conference on Very Large Data Bases,2,https://scholar.google.com/citations?hl=en&vq=eng_databasesinformationsystems&view_op=list_hcore&venue=HgMIeQ05CyMJ.2018,Top10,74,A1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,74.0,,,A1,,
1454,VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=PDH_h8gpFWsJ.2018,Top10,14,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,14.0,,B1,B1,,
1455,VLSI,OC - International Conference on Very Large Scale Integration,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=0lu0mPyqVXAJ.2018,nulo,12,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,12.0,,B1,B1,,
1456,VLSI-DAT,"International Symposium on VLSI Design, Automation and Test",2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=SOMKtO20fWEJ.2018,Relevante,10,B2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,10.0,,,B2,,
1457,VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=0lu0mPyqVXAJ.2018,Relevante,12,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,12.0,,,B1,,
1458,VLSID,International Conference on VLSI Design,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+VLSI+Design&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,17,A4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,17.0,1.0,B1,A4,,
1459,VMCAI,"Verification, Model Checking and Abstract Interpretation",1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=HwtjFGLYgA8J.2019,nulo,17,A4,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,,,,,,
1460,VMV,"Vision, Modeling & Visualization",2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=AKvk3JzWp4QJ.2018,Relevante,10,B2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,10.0,,B2,B2,,
1461,VNC,IEEE Vehicular Networking Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Uiuel-P8PcAJ.2018,Relevante,18,A4,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,18.0,,A2,A4,,
1462,VPQM,International Workshop on Video Processing and Quality Metrics for Consumer Electronics,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Video+Processing+and+Quality+Metrics+for+Consumer+Electronics&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,8.0,1.0,B5,B3,,
1463,VR,IEEE Virtual Reality Conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=muc8DCDEiWcJ.2018,Top10,19,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,19.0,,B1,A4,,
1464,VRCAI,International Conference on Virtual Reality Continuum and its Applications,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=vRov3XZPx2wJ.2018,Top10,9,A4,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,9.0,,B1,B2,,
1465,VRIC,Virtual Reality International Conference,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=olaAlGm0baMJ.2018,nulo,12,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,,,,,,
1466,VRST,ACM Symposium on Virtual Reality Software and Technology,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QFdzrecfz8sJ.2018,Top10,16,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,16.0,,B2,A4,,
1467,VS-Games,International Conference on Virtual Worlds and Games for Serious Applications,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=GW3dXd7lzJ8J.2019,Top20,9,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,9.0,,,B2,,
1468,VTC,Vehicular Technology Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Y0aL1yWCdxkJ.2018,Relevante,44,A1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,44.0,,B1,A1,,
1469,VTS,IEEE VLSI Test Symposium,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=JTdOipGTjv4J.2018,Relevante,15,A4,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,15.0,,B1,A4,,
1470,W2GIS,International Symposium Web and Wireless Geographical Information Systems,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Symposium+Web+and+Wireless+Geographical+Information+Systems&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Top10,10,A4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,10.0,1.0,B2,B2,,
1471,W4A,Conference on Web Accessibility,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=TXeN4Nn46qQJ.2018,Relevante,18,A4,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,18.0,,B1,A4,,
1472,WABI,Workshop on Algorithms in Bioinformatics,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HnP0m-BVIUMJ.2018,Top10,13,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,13.0,,B1,B1,,
1473,WAC,Web Audio Conference,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Web+Audio+Conference&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,8,B2,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,8.0,1.0,,B3,,
1474,WACV,Winter Conference on Applications of Computer Vision,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uo-zCIky-iEJ.2018,Top10,38,A1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,38.0,,A1,A1,,
1475,WADS,Algorithms and Data Structures Symposium,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=WuJ205lBDckJ.2019,Top20,10,B1,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,10.0,,,B2,,
1476,WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+sobre+Aspectos+da+Intera%C3%A7%C3%A3o+Humano-Computador+para+a+Web+Social&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,2,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,2.0,1.0,,B4,,
1477,WALCOM,International Workshop on Algorithms and Computation,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Qm-_RD142XUJ.2018,nulo,10,B2,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,10.0,,B2,B2,,
1478,WAlgProg,"Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Ensino+em+Pensamento+Computacional%2C+Algoritmos+e+Programa%C3%A7%C3%A3o&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,1.0,2.0,,B4,,
1479,WAMCA,Workshop on Applications for Multi-Core Architectures,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Applications+for+Multi-Core+Architectures&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,2.0,1.0,B4,B4,,
1480,WAOA,Workshop on Approximation and Online Algorithms,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Approximation+and+Online+Algorithms&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,9,B2,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,9.0,1.0,B2,B2,,
1481,WAPCO,Workshop on Approximate Computing,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Approximate+Computing&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,8.0,1.0,B5,B3,,
1482,WASHES,"Workshop on Social, Human, and Economic Aspects of Software",2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Social%2C+Human%2C+and+Economic+Aspects+of+Software&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,1.0,1.0,,B4,,
1483,WASPAA,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=hEGvYrUEy4MJ.2018,Top10,16,A3,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,16.0,,,A4,,
1484,WASSA,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=_3-dZpSzkyYJ.2019,nulo,19,A4,15/08/2021 03:50:32,15/08/2021 03:50:32,atualizado com sucesso,19.0,,,A4,,
1485,WBMA,Workshop Brasileiro de Métodos Ágeis,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+Brasileiro+de+M%C3%A9todos+%C3%81geis&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,1.0,1.0,,B4,,
1486,WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Computa%C3%A7%C3%A3o+Aplicada+%C3%A0+Gest%C3%A3o+do+Meio+Ambiente+e+Recursos+Naturais&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,1.0,1.0,B5,B4,,
1487,WCAS,Workshop on Circuits and Systems Design,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Circuits+and+Systems+Design&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,14,B1,link sem info h5,15/08/2021 03:50:32,não encontrou a tag span: list index out of range,14.0,1.0,B5,B1,,
